GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1112407460642476033	2019-03-31 17:33:00	http://twitter.com/ConnieY98406708/status/1112407460642476033	RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez. Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv #CesarChavezDay https://t.co/Z3M2clWs9P	@ConnieY98406708	CY	United States of America	Ohio		Neutral	Joy	Twitter	M	16647	762	868	"RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez.  Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv  #CesarChavezDay https://t.co/Z3M2clWs9P"	Retweet		
1112458723081875456	2019-03-31 20:56:42	http://twitter.com/HDeLeon19/status/1112458723081875456	RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez. Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv #CesarChavezDay https://t.co/Z3M2clWs9P	@HDeLeon19	De Leon🌌				Neutral	Joy	Twitter	M	7670	729	852	"RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez.  Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv  #CesarChavezDay https://t.co/Z3M2clWs9P"	Retweet		
1112406033295536128	2019-03-31 17:27:20	http://twitter.com/TassajaraRd/status/1112406033295536128	RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez. Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv #CesarChavezDay https://t.co/Z3M2clWs9P	@TassajaraRd	JustSusan	United States of America	California	Salinas	Neutral	Joy	Twitter		232289	7625	4560	"RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez.  Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv  #CesarChavezDay https://t.co/Z3M2clWs9P"	Retweet		
1112400871688675329	2019-03-31 17:06:49	http://twitter.com/lady_m78/status/1112400871688675329	RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez. Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv #CesarChavezDay https://t.co/Z3M2clWs9P	@lady_m78	Miesha Clipper	United States of America	California	San Francisco	Neutral	Joy	Twitter		178	81	575	"RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez.  Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv  #CesarChavezDay https://t.co/Z3M2clWs9P"	Retweet		
1112427388837613569	2019-03-31 18:52:12	http://twitter.com/Andres_UCLA/status/1112427388837613569	RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez. Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv #CesarChavezDay https://t.co/Z3M2clWs9P	@Andres_UCLA	Andrés				Neutral	Joy	Twitter	M	2138	503	462	"RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez.  Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv  #CesarChavezDay https://t.co/Z3M2clWs9P"	Retweet		
1112411315992055808	2019-03-31 17:48:19	http://twitter.com/SHScollegecouns/status/1112411315992055808	RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez. Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv #CesarChavezDay https://t.co/Z3M2clWs9P	@SHScollegecouns	Schurr HS College Office	United States of America	California	Los Angeles	Neutral	Joy	Twitter		278	46	41	"RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez.  Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv  #CesarChavezDay https://t.co/Z3M2clWs9P"	Retweet		
1112400712510648323	2019-03-31 17:06:11	http://twitter.com/ItsYamileth___/status/1112400712510648323	RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez. Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv #CesarChavezDay https://t.co/Z3M2clWs9P	@ItsYamileth___	Yamilet🖤✨	United States of America	California		Neutral	Joy	Twitter		53850	503	530	"RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez.  Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv  #CesarChavezDay https://t.co/Z3M2clWs9P"	Retweet		
1112162462562869249	2019-03-31 01:19:28	http://twitter.com/HWDInkSlinger/status/1112162462562869249	RT @UCLA We're honored @MichelleObama and @BetterMakeRoom chose to partner with @UofCalifornia, and will celebrate students taking charge of their futures at the first-ever West Coast #CollegeSigningDay on our campus May 1st! https://t.co/pJb22AjdrM	@HWDInkSlinger	Hollywood InkSlinger  🌀	United States of America	California	Los Angeles	Neutral	Joy	Twitter		22981	213	107	RT @UCLA We're honored @MichelleObama and @BetterMakeRoom chose to partner with @UofCalifornia, and will celebrate students taking charge of their futures at the first-ever West Coast #CollegeSigningDay on our campus May 1st! https://t.co/pJb22AjdrM	Retweet		
1112499860882612224	2019-03-31 23:40:10	http://twitter.com/sballister/status/1112499860882612224	@UCLA Except that Cesar Chavez hated Illegal aliens?	@sballister	Simon Ballister				Negative	Disgust	Twitter	M	39948	590	1066	@UCLA Except that Cesar Chavez hated Illegal aliens?	Reply		
1112467118388183040	2019-03-31 21:30:04	http://twitter.com/smurphy2001/status/1112467118388183040	RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez. Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv #CesarChavezDay https://t.co/Z3M2clWs9P	@smurphy2001	amurphy	United States of America	California		Neutral	Joy	Twitter		9865	292	444	"RT @UCLA Today we celebrate the life and legacy of civil rights activist César Chávez.  Listen to the speech he gave on campus in 1972: https://t.co/sqfbZDTQFv  #CesarChavezDay https://t.co/Z3M2clWs9P"	Retweet		
