GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1098728830892617728	2019-02-21 23:39:01	http://twitter.com/NoobGarza/status/1098728830892617728	RT @UCLA Snow in LA! https://t.co/8tnRATjqQv	@NoobGarza	noob garza	United States of America	Texas	San Antonio	Neutral	Neutral	Twitter		1246	399	167	RT @UCLA Snow in LA! https://t.co/8tnRATjqQv	Retweet		
1098383313381732352	2019-02-21 00:46:03	http://twitter.com/StacyPaetz/status/1098383313381732352	"RT @UCLA ""Success is peace of mind, which is a direct result of self-satisfaction in knowing you did your best to become the best you are capable of becoming."" -Coach John Wooden #WednesdayWisdom https://t.co/ZyEnWycXlN"	@StacyPaetz	Stacy Paetz™	United States of America			Positive	Joy	Twitter	F	4957	7591	291	"RT @UCLA ""Success is peace of mind, which is a direct result of self-satisfaction in knowing you did your best to become the best you are capable of becoming."" -Coach John Wooden #WednesdayWisdom https://t.co/ZyEnWycXlN"	Retweet		
1098415514529886209	2019-02-21 02:54:00	http://twitter.com/greguideweb/status/1098415514529886209	"RT @UCLA ""Success is peace of mind, which is a direct result of self-satisfaction in knowing you did your best to become the best you are capable of becoming."" -Coach John Wooden #WednesdayWisdom https://t.co/ZyEnWycXlN"	@greguideweb	Greguideweb				Positive	Joy	Twitter		2	10	311	"RT @UCLA ""Success is peace of mind, which is a direct result of self-satisfaction in knowing you did your best to become the best you are capable of becoming."" -Coach John Wooden #WednesdayWisdom https://t.co/ZyEnWycXlN"	Retweet		
1098392792353521664	2019-02-21 01:23:43	http://twitter.com/CoachTonyUCLA/status/1098392792353521664	"RT @UCLA ""Success is peace of mind, which is a direct result of self-satisfaction in knowing you did your best to become the best you are capable of becoming."" -Coach John Wooden #WednesdayWisdom https://t.co/ZyEnWycXlN"	@CoachTonyUCLA	Tony Newnan				Positive	Joy	Twitter	M	4466	2806	617	"RT @UCLA ""Success is peace of mind, which is a direct result of self-satisfaction in knowing you did your best to become the best you are capable of becoming."" -Coach John Wooden #WednesdayWisdom https://t.co/ZyEnWycXlN"	Retweet		
1098625214554882049	2019-02-21 16:47:17	http://twitter.com/debra4peace2011/status/1098625214554882049	RT @UCLA UCLA's 4 ethnic studies centers use research to bring social justice for African Americans, Latinos, Asian Americans and Native people. #WorldDayofSocialJustice. ⬇️ https://t.co/JF9dsrlWek	@debra4peace2011	Debra V.	United States of America	California		Neutral	Neutral	Twitter	F	2907	46	156	RT @UCLA UCLA's 4 ethnic studies centers use research to bring social justice for African Americans, Latinos, Asian Americans and Native people. #WorldDayofSocialJustice. ⬇️ https://t.co/JF9dsrlWek	Retweet		
1098601415235289088	2019-02-21 15:12:43	http://twitter.com/despoullapa/status/1098601415235289088	"RT @UCLA ""Success is peace of mind, which is a direct result of self-satisfaction in knowing you did your best to become the best you are capable of becoming."" -Coach John Wooden #WednesdayWisdom https://t.co/ZyEnWycXlN"	@despoullapa	des pa				Positive	Joy	Twitter	M	327	105	411	"RT @UCLA ""Success is peace of mind, which is a direct result of self-satisfaction in knowing you did your best to become the best you are capable of becoming."" -Coach John Wooden #WednesdayWisdom https://t.co/ZyEnWycXlN"	Retweet		
1098724575892910082	2019-02-21 23:22:06	http://twitter.com/filafresh/status/1098724575892910082	RT @UCLA Snow in LA! https://t.co/8tnRATjqQv	@filafresh	FilaFresh	United States of America	Texas		Neutral	Neutral	Twitter		1559075	7743	4134	RT @UCLA Snow in LA! https://t.co/8tnRATjqQv	Retweet		
1098680778030931970	2019-02-21 20:28:04	http://twitter.com/bonaevox/status/1098680778030931970	"RT @UCLA ""Success is peace of mind, which is a direct result of self-satisfaction in knowing you did your best to become the best you are capable of becoming."" -Coach John Wooden #WednesdayWisdom https://t.co/ZyEnWycXlN"	@bonaevox	Blanche R	United States of America			Positive	Joy	Twitter	F	16070	460	1005	"RT @UCLA ""Success is peace of mind, which is a direct result of self-satisfaction in knowing you did your best to become the best you are capable of becoming."" -Coach John Wooden #WednesdayWisdom https://t.co/ZyEnWycXlN"	Retweet		
1098727690696179712	2019-02-21 23:34:29	http://twitter.com/samayonlove/status/1098727690696179712	RT @UCLA Snow in LA! https://t.co/8tnRATjqQv	@samayonlove	Sam				Neutral	Neutral	Twitter	M	32433	326	254	RT @UCLA Snow in LA! https://t.co/8tnRATjqQv	Retweet		
1098645995552878592	2019-02-21 18:09:51	http://twitter.com/helenluuser/status/1098645995552878592	RT @UCLA UCLA's 4 ethnic studies centers use research to bring social justice for African Americans, Latinos, Asian Americans and Native people. #WorldDayofSocialJustice. ⬇️ https://t.co/JF9dsrlWek	@helenluuser	Helen Luu				Neutral	Neutral	Twitter	F	2867	146	294	RT @UCLA UCLA's 4 ethnic studies centers use research to bring social justice for African Americans, Latinos, Asian Americans and Native people. #WorldDayofSocialJustice. ⬇️ https://t.co/JF9dsrlWek	Retweet		
1098726438369484800	2019-02-21 23:29:30	http://twitter.com/Russ_Burgos/status/1098726438369484800	RT @UCLA Snow in LA! https://t.co/8tnRATjqQv	@Russ_Burgos	Russell Burgos	United States of America			Neutral	Neutral	Twitter	M	14087	252	632	RT @UCLA Snow in LA! https://t.co/8tnRATjqQv	Retweet		
